tablename,VD,direct,sortby,road,position,city,district,newdirect
EVQEUU60,VQEUU60,E,0,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,E
EVQKWL60,VQKWL60,E,1,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,E
EVQKWL61,VQKWL61,E,2,民權東路,民權東路六段203巷口,Taipei,Neihu,E
EVSGRX60,VSGRX60,E,3,堤頂大道,堤頂大道二段177號,Taipei,Neihu,E
EVSQYA00,VSQYA00,E,4,金湖路,金湖路268號,Taipei,Neihu,E
NVPBTD70,VPBTD70,N,5,舊宗路,舊宗路一段150巷口,Taipei,Neihu,N
NVPMSV40,VPMSV40,N,6,堤頂大道,堤頂大道二段內湖污水處理場停車場出口,Taipei,Neihu,N
NVQ6WK40,VQ6WK40,N,7,成功路,成功路2段312巷,Taipei,Neihu,N
NVQKWL00,VQKWL00,N,8,成功路,成功路二段380號,Taipei,Neihu,N
NVQKWL40,VQKWL40,N,9,成功路,成功路二段373號,Taipei,Neihu,N
NVQRTE00,VQRTE00,N,10,舊宗路,舊宗路二段121巷口,Taipei,Neihu,N
NVRGUF00,VRGUF00,N,11,瑞光路,瑞光路120巷1-20號,Taipei,Neihu,N
NVRPSV00,VRPSV00,N,12,堤頂大道,堤頂大道二段與舊宗路二段路口,Taipei,Neihu,N
NVRPSV70,VRPSV70,N,13,舊宗路,舊宗路二段213巷口,Taipei,Neihu,N
NVS6TI00,VS6TI00,N,14,瑞光路,瑞光路295號,Taipei,Neihu,N
NVS9TE00,VS9TE00,N,15,港墘路,港墘路219號,Taipei,Neihu,N
NVSKTL00,VSKTL00,N,16,港墘路,港墘路149號,Taipei,Neihu,N
NVSNRE00,VSNRE00,N,17,瑞光路,瑞光路390號,Taipei,Neihu,N
NVSPRA40,VSPRA40,N,18,基湖路,基湖路39號前,Taipei,Neihu,N
NVTXQL00,VTXQL00,N,19,堤頂大道,堤頂大道二段489-501號,Taipei,Neihu,N
SVNZ4641,VNZ4641,S,20,南湖大橋,三重路69號,Taipei,Neihu,S
SVPMSV40,VPMSV40,S,21,堤頂大道,堤頂大道二段內湖污水處理場停車場出口,Taipei,Neihu,S
SVQ6WK40,VQ6WK40,S,22,成功路,成功路2段312巷,Taipei,Neihu,S
SVQKWL00,VQKWL00,S,23,成功路,成功路二段380號,Taipei,Neihu,S
SVQKWL40,VQKWL40,S,24,成功路,成功路二段373號,Taipei,Neihu,S
SVQRTE00,VQRTE00,S,25,舊宗路,舊宗路二段121巷口,Taipei,Neihu,S
SVRGUF00,VRGUF00,S,26,瑞光路,瑞光路120巷1-20號,Taipei,Neihu,S
SVRPSV00,VRPSV00,S,27,堤頂大道,堤頂大道二段與舊宗路二段路口,Taipei,Neihu,S
SVS6TI00,VS6TI00,S,28,瑞光路,瑞光路295號,Taipei,Neihu,S
SVS9TE00,VS9TE00,S,29,港墘路,港墘路219號,Taipei,Neihu,S
SVSNRE00,VSNRE00,S,30,瑞光路,瑞光路390號,Taipei,Neihu,S
SVSPRA40,VSPRA40,S,31,基湖路,基湖路39號,Taipei,Neihu,S
SVTXQL00,VTXQL00,S,32,堤頂大道,堤頂大道二段489-501號,Taipei,Neihu,S
UV6121A0,V6121A0,U,33,環東大道,堤頂上匝道,Taipei,Neihu,E
UV6130C0,V6130C0,U,34,麥帥橋,麥二舊宗,Taipei,Neihu,E
UV6140C0,V6140C0,U,35,環東大道,麥二舊宗,Taipei,Neihu,E
UV6140C1,V6140C1,U,36,麥帥橋,麥二舊宗,Taipei,Neihu,E
UV6141E0,V6141E0,U,37,堤頂大道,堤頂上匝道入口,Taipei,Neihu,S
UV6150C0,V6150C0,U,38,環東大道,堤頂舊宗,Taipei,Neihu,E
UV6150C1,V6150C1,U,39,環東大道,堤頂舊宗,Taipei,Neihu,E
UV6151C0,V6151C0,U,40,環東大道,舊宗路出城上匝道入口,Taipei,Neihu,E
UV6151C0,V6151C0,U,41,環東大道,舊宗路出城上匝道入口,Taipei,Neihu,W
UV6160C0,V6160C0,U,42,環東大道,舊宗經貿,Taipei,Neihu,W
UV6160C1,V6160C1,U,43,環東大道,舊宗經貿,Taipei,Neihu,S
UV6330G7,V6330G7,U,44,環東大道,經貿舊宗,Taipei,Neihu,S
UV6330G8,V6330G8,U,45,環東大道,經貿舊宗,Taipei,Neihu,W
UV6340G0,V6340G0,U,46,環東大道,舊宗堤頂,Taipei,Neihu,W
UV6340G1,V6340G1,U,47,環東大道,舊宗堤頂,Taipei,Neihu,W
UV6350G0,V6350G0,U,48,麥帥橋,堤頂舊宗,Taipei,Neihu,N
UV6360G0,V6360G0,U,49,麥帥橋,舊宗麥二,Taipei,Neihu,W
WVQEUU60,VQEUU60,W,50,民權東路,民權東路六段(中天電視對面),Taipei,Neihu,W
WVQKWL60,VQKWL60,W,51,民權東路,民權東路六段(防災科學教育館對面),Taipei,Neihu,W
WVQKWL61,VQKWL61,W,52,民權東路,民權東路六段203巷口,Taipei,Neihu,W
WVSGRX60,VSGRX60,W,53,堤頂大道,堤頂大道二段177號,Taipei,Neihu,W
WVSHZU60,VSHZU60,W,54,成功路,成功路5段康湖路口,Taipei,Neihu,W
WVSM4D60,VSM4D60,W,55,康湖路,康樂隧道1+760北側車道,Taipei,Neihu,W
WVSM4D61,VSM4D61,W,56,康湖路,康樂隧道1+360北側車道,Taipei,Neihu,W
WVSPRA60,VSPRA60,W,57,堤頂大道,堤頂大道二段285號,Taipei,Neihu,W
WVSQYA00,VSQYA00,W,58,金湖路,金湖路268號,Taipei,Neihu,W
WVTEZS61,VTEZS61,W,59,康湖路,大湖隧道0+535北側車道,Taipei,Neihu,W
EV3110C0,V3110C0,E,60,汀州路,汀州路車行地下道入口端,Taipei,Zhongzheng,E
EV42E2E0,V42E2E0,E,61,中正橋,離金門街35巷下游約25公尺,Taipei,Zhongzheng,E
EVG8IK60,VG8IK60,E,62,和平西路,和平西路一段77號,Taipei,Zhongzheng,E
EVGMFQ20,VGMFQ20,E,63,和平西路,和平西路二段90號,Taipei,Zhongzheng,E
EVGYER20,VGYER20,E,64,西藏路,西藏路33號,Taipei,Zhongzheng,E
EVH7E760,VH7E760,E,65,莒光路,莒光路42號,Taipei,Zhongzheng,E
EVHHEF20,VHHEF20,E,66,和平西路,和平西路二段150-1號,Taipei,Zhongzheng,E
EVIBHV20,VIBHV20,E,67,信義路,信義路一段5之1號,Taipei,Zhongzheng,E
EVIGHK20,VIGHK20,E,68,,信義路一段東門國小往西約60M處,Taipei,Zhongzheng,E
EVIPIZ60,VIPIZ60,E,69,仁愛路,仁愛路二段27號,Taipei,Zhongzheng,E
EVIPJA20,VIPJA20,E,70,仁愛路,仁愛路二段71號,Taipei,Zhongzheng,E
EVJMHU60,VJMHU60,E,71,濟南路,濟南路一段71號,Taipei,Zhongzheng,E
EVJQJI20,VJQJI20,E,72,忠孝東路,忠孝東路二段128號,Taipei,Zhongzheng,E
EVJTJ820,VJTJ820,E,73,忠孝東路,忠孝東路二段34號,Taipei,Zhongzheng,E
EVJTJ960,VJTJ960,E,74,八德路,八德路一段43巷,Taipei,Zhongzheng,E
EVJWJ720,VJWJ720,E,75,濟南路,濟南路二段50號,Taipei,Zhongzheng,E
EVK5IE20,VK5IE20,E,76,忠孝東路,忠孝東路一段148號,Taipei,Zhongzheng,E
EVKAHN20,VKAHN20,E,77,忠孝東路,忠孝東路一段12號,Taipei,Zhongzheng,E
EVKJJP20,VKJJP20,E,78,市民大道,市民大道三段17號,Taipei,Zhongzheng,E
EVKLGD20,VKLGD20,E,79,忠孝西路,忠孝西路一段70號,Taipei,Zhongzheng,E
EVKNIV20,VKNIV20,E,80,市民大道,市民大道二段142號,Taipei,Zhongzheng,E
EVKVHI20,VKVHI20,E,81,市民大道,市民大道一段(臺北捷運M2出口),Taipei,Zhongzheng,E
EVKXET20,VKXET20,E,82,館前路,館前路2號,Taipei,Zhongzheng,E
EVLXFX20,VLXFX20,E,83,鄭州路,鄭州路81號,Taipei,Zhongzheng,E
NV4020A0,V4020A0,N,84,永福橋,離汀洲街四段140巷上游50公尺,Taipei,Zhongzheng,N
NV4031A0,V4031A0,N,85,水源快速道路,離往北往南方向岔出點下游30公尺,Taipei,Zhongzheng,N
NV4040H1,V4040H1,N,86,水源快速道路,離永福橋上游50公尺,Taipei,Zhongzheng,N
NV4070G0,V4070G0,N,87,水源快速道路,水源路213巷前,Taipei,Zhongzheng,N
NVDKJT00,VDKJT00,N,88,思源路,思源路水博館,Taipei,Zhongzheng,N
NVDTJT00,VDTJT00,N,89,汀州路,"汀州路三段229號
",Taipei,Zhongzheng,N
NVE7GH40,VE7GH40,N,90,,水源快往中正橋方向出口旁,Taipei,Zhongzheng,N
NVFVGM00,VFVGM00,N,91,重慶南路,重慶南路三段92號,Taipei,Zhongzheng,N
NVG7EQ00,VG7EQ00,N,92,中華路,中華路二段386號前,Taipei,Zhongzheng,N
NVGSGF00,VGSGF00,N,93,重慶南路,重慶南路三段38號,Taipei,Zhongzheng,N
NVGTHG00,VGTHG00,N,94,羅斯福路,羅斯福路二段7號,Taipei,Zhongzheng,N
NVH7EN60,VH7EN60,N,95,和平西路,和平西路2段63號,Taipei,Zhongzheng,N
NVHBGA00,VHBGA00,N,96,重慶南路,重慶南路二段74號,Taipei,Zhongzheng,N
NVHBGA01,VHBGA01,N,97,重慶南路,重慶南路二段8巷口,Taipei,Zhongzheng,N
NVHWGD40,VHWGD40,N,98,中山南路,中山南路21-1號,Taipei,Zhongzheng,N
NVHYFT00,VHYFT00,N,99,重慶南路,重慶南路一段124號,Taipei,Zhongzheng,N
NVI6I900,VI6I900,N,100,,杭州南路一段28號前,Taipei,Zhongzheng,N
NVI9EM00,VI9EM00,N,101,中華路,中華路二段39巷口,Taipei,Zhongzheng,N
NVIXJ740,VIXJ740,N,102,金山南路,金山南路一段23號,Taipei,Zhongzheng,N
NVJ7II00,VJ7II00,N,103,杭州南路,杭州南路一段63號,Taipei,Zhongzheng,N
NVJMHU00,VJMHU00,N,104,林森南路,林森南路10號,Taipei,Zhongzheng,N
NVJTFX00,VJTFX00,N,105,重慶南路,重慶南路一段93號,Taipei,Zhongzheng,N
NVKII640,VKII640,N,106,林森北路,林森北路7之2號,Taipei,Zhongzheng,N
SV4250B0,V4250B0,S,107,水源快速道路,離青年路下游235公尺,Taipei,Zhongzheng,S
SV4270C0,V4270C0,S,108,同安街,同安街107號,Taipei,Zhongzheng,S
SV4271C0,V4271C0,S,109,水源快速道路,中正橋上匝道入口處,Taipei,Zhongzheng,S
SV4290C0,V4290C0,S,110,水源快速道路,離入口匝道鼻端上游100公尺,Taipei,Zhongzheng,S
SV4291E0,V4291E0,S,111,師大路,師大路入口匝道起點,Taipei,Zhongzheng,S
SV42A0D0,V42A0D0,S,112,水源快速道路,離汀州路三段24巷上游約48公尺,Taipei,Zhongzheng,S
SV42I2E0,V42I2E0,S,113,水源路/水源快速道路,離出口匝道鼻端下游50公尺,Taipei,Zhongzheng,S
SVCPKT41,VCPKT41,S,114,羅斯福路,羅斯福路四段32號,Taipei,Zhongzheng,S
SVDKJT00,VDKJT00,S,115,思源路,思源路水博館,Taipei,Zhongzheng,S
SVFVGM00,VFVGM00,S,116,重慶南路,重慶南路三段92號,Taipei,Zhongzheng,S
SVG7EQ00,VG7EQ00,S,117,中華路,中華路二段386號前,Taipei,Zhongzheng,S
SVGSGF00,VGSGF00,S,118,重慶南路,重慶南路三段38號,Taipei,Zhongzheng,S
SVGTHG00,VGTHG00,S,119,羅斯福路,羅斯福路二段7號,Taipei,Zhongzheng,S
SVHBGA00,VHBGA00,S,120,重慶南路,重慶南路二段74號,Taipei,Zhongzheng,S
SVHBGA01,VHBGA01,S,121,重慶南路,重慶南路二段8巷口,Taipei,Zhongzheng,S
SVHWGD40,VHWGD40,S,122,中山南路,中山南路21-1號,Taipei,Zhongzheng,S
SVHYFT00,VHYFT00,S,123,重慶南路,重慶南路一段124號,Taipei,Zhongzheng,S
SVIGHK40,VIGHK40,S,124,林森南路87號,林森南路87號,Taipei,Zhongzheng,S
SVIXJ740,VIXJ740,S,125,金山南路,金山南路一段23號,Taipei,Zhongzheng,S
SVJCHS40,VJCHS40,S,126,林森南路,林森南路33號,Taipei,Zhongzheng,S
SVJTFX00,VJTFX00,S,127,重慶南路,重慶南路一段93號,Taipei,Zhongzheng,S
SVKII640,VKII640,S,128,林森北路7之2號,林森北路7之2號,Taipei,Zhongzheng,S
SVN2D0E0,VN2D0E0,S,129,市民大道,市民大道二段99號,Taipei,Zhongzheng,S
SVN2E0E0,VN2E0E0,S,130,八德路,八德路一段1號,Taipei,Zhongzheng,S
UV0111C0,V0111C0,U,131,承德路,承德路一段239號,Taipei,Zhongzheng,E
UV0130A0,V0130A0,U,132,東西向快速道路,東西向快速道路重慶北路一段,Taipei,Zhongzheng,E
UV0130A1,V0130A1,U,133,市民大道,市民大道二段142號,Taipei,Zhongzheng,E
UV03E0G0,V03E0G0,U,134,市民大道,市民大道二段142號,Taipei,Zhongzheng,W
WV2320G0,V2320G0,W,135,水源路,水源路187號,Taipei,Zhongzheng,W
WVCNKM20,VCNKM20,W,136,,福和橋(基隆路三段與汀州路三段口)(附掛路燈桿),Taipei,Zhongzheng,W
WVG8IK60,VG8IK60,W,137,和平西路,和平西路一段77號,Taipei,Zhongzheng,W
WVGMFQ20,VGMFQ20,W,138,和平西路,和平西路二段90號對面人行道上,Taipei,Zhongzheng,W
WVGYER20,VGYER20,W,139,西藏路,西藏路33號前,Taipei,Zhongzheng,W
WVH7E760,VH7E760,W,140,莒光路,莒光路42號前,Taipei,Zhongzheng,W
WVHSH560,VHSH560,W,141,愛國東路,愛國東路72號,Taipei,Zhongzheng,W
WVIBHV20,VIBHV20,W,142,信義路,信義路一段5之1號,Taipei,Zhongzheng,W
WVIGHK20,VIGHK20,W,143,,信義路一段東門國小往西約60M處,Taipei,Zhongzheng,W
WVIPIZ60,VIPIZ60,W,144,仁愛路,仁愛路二段27號,Taipei,Zhongzheng,W
WVIPJA20,VIPJA20,W,145,仁愛路,仁愛路二段71號,Taipei,Zhongzheng,W
WVJMHU60,VJMHU60,W,146,濟南路,濟南路一段71號,Taipei,Zhongzheng,W
WVJQJI20,VJQJI20,W,147,忠孝東路,忠孝東路二段128號,Taipei,Zhongzheng,W
WVJTJ960,VJTJ960,W,148,八德路,八德路一段43巷,Taipei,Zhongzheng,W
WVJWJ720,VJWJ720,W,149,濟南路,濟南路二段50號,Taipei,Zhongzheng,W
WVK5IE20,VK5IE20,W,150,忠孝東路,忠孝東路一段148號,Taipei,Zhongzheng,W
WVKAHN20,VKAHN20,W,151,忠孝東路,忠孝東路一段12號,Taipei,Zhongzheng,W
WVLAFP60,VLAFP60,W,152,鄭州路,鄭州路81號,Taipei,Zhongzheng,W
